style,style_rank,shortlist_tier,recommended_role,owner_style,owner_match,shortlist_score,original_score,duplicate_style_count,duplicate_styles,query,title,object_type,classification,rights_status,file_path,file_name,source_key,external_id,source_url,heuristic_reason,notes,selection_bucket,train_pick,selection_note,train_style_rank
artisanal_deconstruction,5,B,cross_style_review,minimalist_chic,no,71,28,2,artisanal_deconstruction | minimalist_chic,minimal fashion sketch,The Fashions of the Day – or Time Past and Time Present: The Year (1740) a Lady's Full Dress of Bombazeen – The Year (1808) Lady's Undress of Bum-be-seen,Print,Prints,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/artisanal_deconstruction/images/09_met_open_access_392524_the-fashions-of-the-day-or-time-past-and-time-present-the-year-1740-a-lady-s-ful.jpg,09_met_open_access_392524_the-fashions-of-the-day-or-time-past-and-time-present-the-year-1740-a-lady-s-ful.jpg,met_open_access,392524,https://www.metmuseum.org/art/collection/search/392524,base=28; +20:fashion sketch; +8:pen; +4:print; +4:prints; +6:specific_query; +5:public_domain; -4:cross_style_duplicate,"source=The Met Open Access | title=The Fashions of the Day – or Time Past and Time Present: The Year (1740) a Lady's Full Dress of Bombazeen – The Year (1808) Lady's Undress of Bum-be-seen | object_type=Print | creator=Anonymous, Irish, 19th century | date=ca. 1808 | query=minimal fashion sketch | url=https://www.metmuseum.org/art/collection/search/392524 | rights=public_domain",cross_style_fallback,yes,High-score fallback from another style bucket; review before final training.,3
artisanal_deconstruction,6,C,cross_style_review,architectural_volume,no,51,42,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,costume design drawing,Costume Design,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/artisanal_deconstruction/images/01_met_open_access_343200_costume-design.jpg,01_met_open_access_343200_costume-design.jpg,met_open_access,343200,https://www.metmuseum.org/art/collection/search/343200,base=42; +28:costume design; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -60:cross_style_duplicate,"source=The Met Open Access | title=Costume Design | object_type=Drawing | creator=Pierre-Numa Bassaget, called Numa | date=1836–37 | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/343200 | rights=public_domain",deep_fallback,yes,Fallback pick added to reach the target count; manual review recommended.,4
artisanal_deconstruction,7,C,cross_style_review,baroque_narrative,no,51,42,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,costume design drawing,Costume Design,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/artisanal_deconstruction/images/02_met_open_access_343201_costume-design.jpg,02_met_open_access_343201_costume-design.jpg,met_open_access,343201,https://www.metmuseum.org/art/collection/search/343201,base=42; +28:costume design; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -60:cross_style_duplicate,"source=The Met Open Access | title=Costume Design | object_type=Drawing | creator=Pierre-Numa Bassaget, called Numa | date=1836–37 | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/343201 | rights=public_domain",deep_fallback,yes,Fallback pick added to reach the target count; manual review recommended.,5
artisanal_deconstruction,8,C,cross_style_review,architectural_volume,no,51,42,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,costume design drawing,Costume Design,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/artisanal_deconstruction/images/03_met_open_access_343202_costume-design.jpg,03_met_open_access_343202_costume-design.jpg,met_open_access,343202,https://www.metmuseum.org/art/collection/search/343202,base=42; +28:costume design; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -60:cross_style_duplicate,"source=The Met Open Access | title=Costume Design | object_type=Drawing | creator=Pierre-Numa Bassaget, called Numa | date=1836–37 | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/343202 | rights=public_domain",deep_fallback,yes,Fallback pick added to reach the target count; manual review recommended.,6
artisanal_deconstruction,9,C,backup_only,paris_new_look,no,49,32,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,fashion illustration,Illustration for a French fashion magazine,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/artisanal_deconstruction/images/06_met_open_access_386313_illustration-for-a-french-fashion-magazine.jpg,06_met_open_access_386313_illustration-for-a-french-fashion-magazine.jpg,met_open_access,386313,https://www.metmuseum.org/art/collection/search/386313,base=32; +22:fashion illustration; +14:fashion magazine; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -60:cross_style_duplicate,source=The Met Open Access | title=Illustration for a French fashion magazine | object_type=Drawing | creator=Hélöise Leloir | date=ca. 1862 | query=fashion illustration | url=https://www.metmuseum.org/art/collection/search/386313 | rights=public_domain,deep_fallback,yes,Fallback pick added to reach the target count; manual review recommended.,7
artisanal_deconstruction,10,D,backup_only,paris_new_look,no,41,38,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,fashion illustration,"Fashion illustration, no. 2224",Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/artisanal_deconstruction/images/04_met_open_access_386317_fashion-illustration-no-2224.jpg,04_met_open_access_386317_fashion-illustration-no-2224.jpg,met_open_access,386317,https://www.metmuseum.org/art/collection/search/386317,base=38; +22:fashion illustration; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -60:cross_style_duplicate,"source=The Met Open Access | title=Fashion illustration, no. 2224 | object_type=Drawing | creator=Jules David | date=July 1885 | query=fashion illustration | url=https://www.metmuseum.org/art/collection/search/386317 | rights=public_domain",deep_fallback,yes,Fallback pick added to reach the target count; manual review recommended.,8
baroque_narrative,1,A,core_train,baroque_narrative,yes,144,43,5,architectural_volume | baroque_narrative | modern_croquis | paris_new_look | surreal_gold,baroque costume design watercolor,"Costume Design for ""Orlando""",Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/baroque_narrative/images/03_met_open_access_341305_costume-design-for-orlando.jpg,03_met_open_access_341305_costume-design-for-orlando.jpg,met_open_access,341305,https://www.metmuseum.org/art/collection/search/341305,base=43; +28:costume design; +30:costume design for; +14:drawing; +14:drawings; +12:watercolor; +8:pen; +6:specific_query; +5:public_domain; -16:cross_style_duplicate,"source=The Met Open Access | title=Costume Design for ""Orlando"" | object_type=Drawing | creator=Charles Bianchini | date=1889 | query=baroque costume design watercolor | url=https://www.metmuseum.org/art/collection/search/341305 | rights=public_domain",style_anchor,yes,Strong owner-match reference for this style family.,1
baroque_narrative,2,A,core_train,baroque_narrative,yes,136,43,7,architectural_volume | baroque_narrative | corset_cabaret | insect_power | modern_croquis | paris_new_look | surreal_gold,baroque costume design watercolor,"Costume Design for ""Adam""",Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/baroque_narrative/images/02_met_open_access_341315_costume-design-for-adam.jpg,02_met_open_access_341315_costume-design-for-adam.jpg,met_open_access,341315,https://www.metmuseum.org/art/collection/search/341315,base=43; +28:costume design; +30:costume design for; +14:drawing; +14:drawings; +12:watercolor; +8:pen; +6:specific_query; +5:public_domain; -24:cross_style_duplicate,"source=The Met Open Access | title=Costume Design for ""Adam"" | object_type=Drawing | creator=Charles Bianchini | date=1889 | query=baroque costume design watercolor | url=https://www.metmuseum.org/art/collection/search/341315 | rights=public_domain",style_anchor,yes,Strong owner-match reference for this style family.,2
baroque_narrative,3,A,core_train,baroque_narrative,yes,108,37,5,architectural_volume | baroque_narrative | modern_croquis | paris_new_look | surreal_gold,baroque costume design watercolor,"Design for Man's ""Medieval"" Costume",Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/baroque_narrative/images/07_met_open_access_341311_design-for-man-s-medieval-costume.jpg,07_met_open_access_341311_design-for-man-s-medieval-costume.jpg,met_open_access,341311,https://www.metmuseum.org/art/collection/search/341311,base=37; +28:costume design; +14:drawing; +14:drawings; +12:watercolor; +8:pen; +6:specific_query; +5:public_domain; -16:cross_style_duplicate,"source=The Met Open Access | title=Design for Man's ""Medieval"" Costume | object_type=Drawing | creator=Charles Bianchini | date=n.d. | query=baroque costume design watercolor | url=https://www.metmuseum.org/art/collection/search/341311 | rights=public_domain",style_anchor,yes,Strong owner-match reference for this style family.,3
baroque_narrative,4,B,core_train,baroque_narrative,yes,70,43,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,baroque costume design watercolor,Costume Design,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/baroque_narrative/images/01_met_open_access_343201_costume-design.jpg,01_met_open_access_343201_costume-design.jpg,met_open_access,343201,https://www.metmuseum.org/art/collection/search/343201,base=43; +28:costume design; +14:drawing; +14:drawings; +12:watercolor; +8:pen; +6:specific_query; +5:public_domain; -60:cross_style_duplicate,"source=The Met Open Access | title=Costume Design | object_type=Drawing | creator=Pierre-Numa Bassaget, called Numa | date=1836–37 | query=baroque costume design watercolor | url=https://www.metmuseum.org/art/collection/search/343201 | rights=public_domain",style_anchor,yes,Strong owner-match reference for this style family.,4
baroque_narrative,5,C,cross_style_review,maximalist_romance,no,59,26,2,baroque_narrative | maximalist_romance,romantic theatrical costume drawing,Standing Figure in Oriental Costume,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/baroque_narrative/images/11_met_open_access_338241_standing-figure-in-oriental-costume.jpg,11_met_open_access_338241_standing-figure-in-oriental-costume.jpg,met_open_access,338241,https://www.metmuseum.org/art/collection/search/338241,base=26; +14:drawing; +14:drawings; +8:pen; -10:oriental costume; +6:specific_query; +5:public_domain; -4:cross_style_duplicate,source=The Met Open Access | title=Standing Figure in Oriental Costume | object_type=Drawing | creator=Sebastiano Bombelli | date=1655–1719 | query=romantic theatrical costume drawing | url=https://www.metmuseum.org/art/collection/search/338241 | rights=public_domain,deep_fallback,yes,Fallback pick added to reach the target count; manual review recommended.,5
baroque_narrative,6,C,cross_style_review,paris_new_look,no,51,34,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,fashion illustration,Illustration for a French fashion magazine,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/baroque_narrative/images/08_met_open_access_386313_illustration-for-a-french-fashion-magazine.jpg,08_met_open_access_386313_illustration-for-a-french-fashion-magazine.jpg,met_open_access,386313,https://www.metmuseum.org/art/collection/search/386313,base=34; +22:fashion illustration; +14:fashion magazine; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -60:cross_style_duplicate,source=The Met Open Access | title=Illustration for a French fashion magazine | object_type=Drawing | creator=Hélöise Leloir | date=ca. 1862 | query=fashion illustration | url=https://www.metmuseum.org/art/collection/search/386313 | rights=public_domain,deep_fallback,yes,Fallback pick added to reach the target count; manual review recommended.,6
baroque_narrative,7,C,cross_style_review,architectural_volume,no,49,40,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,costume design drawing,Costume Design,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/baroque_narrative/images/04_met_open_access_343200_costume-design.jpg,04_met_open_access_343200_costume-design.jpg,met_open_access,343200,https://www.metmuseum.org/art/collection/search/343200,base=40; +28:costume design; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -60:cross_style_duplicate,"source=The Met Open Access | title=Costume Design | object_type=Drawing | creator=Pierre-Numa Bassaget, called Numa | date=1836–37 | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/343200 | rights=public_domain",deep_fallback,yes,Fallback pick added to reach the target count; manual review recommended.,7
baroque_narrative,8,C,cross_style_review,architectural_volume,no,49,40,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,costume design drawing,Costume Design,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/baroque_narrative/images/05_met_open_access_343202_costume-design.jpg,05_met_open_access_343202_costume-design.jpg,met_open_access,343202,https://www.metmuseum.org/art/collection/search/343202,base=40; +28:costume design; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -60:cross_style_duplicate,"source=The Met Open Access | title=Costume Design | object_type=Drawing | creator=Pierre-Numa Bassaget, called Numa | date=1836–37 | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/343202 | rights=public_domain",deep_fallback,yes,Fallback pick added to reach the target count; manual review recommended.,8
bionic_couture,1,A,core_train,bionic_couture,yes,102,29,1,bionic_couture,geometric dress study,Fashion Study: Woman in a Green Dress,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/bionic_couture/images/08_met_open_access_384449_fashion-study-woman-in-a-green-dress.jpg,08_met_open_access_384449_fashion-study-woman-in-a-green-dress.jpg,met_open_access,384449,https://www.metmuseum.org/art/collection/search/384449,base=29; +18:fashion study; +14:drawing; +14:drawings; +8:pen; +8:study; +6:specific_query; +5:public_domain,"source=The Met Open Access | title=Fashion Study: Woman in a Green Dress | object_type=Drawing | creator=Anonymous, French, 19th century | date=19th century | query=geometric dress study | url=https://www.metmuseum.org/art/collection/search/384449 | rights=public_domain",style_anchor,yes,Strong owner-match reference for this style family.,1
bionic_couture,2,B,core_train,bionic_couture,yes,66,29,1,bionic_couture,geometric dress study,Study of a Woman’s Dress for a Portrait,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/bionic_couture/images/10_met_open_access_711667_study-of-a-woman-s-dress-for-a-portrait.jpg,10_met_open_access_711667_study-of-a-woman-s-dress-for-a-portrait.jpg,met_open_access,711667,https://www.metmuseum.org/art/collection/search/711667,base=29; +14:drawing; +14:drawings; +8:pen; +8:study; -18:portrait; +6:specific_query; +5:public_domain,"source=The Met Open Access | title=Study of a Woman’s Dress for a Portrait | object_type=Drawing | creator=Anonymous, Italian, Venetian, 16th century | date=ca. 1540–60 | query=geometric dress study | url=https://www.metmuseum.org/art/collection/search/711667 | rights=public_domain",style_anchor,yes,Strong owner-match reference for this style family.,2
bionic_couture,3,C,style_support,bionic_couture,yes,56,29,1,bionic_couture,geometric dress study,Figure in Roman Dress (Publius Cornelius Scipio Africanus) and Study of Two Helmets (recto); Sketches and Latin Inscription (verso),Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/bionic_couture/images/09_met_open_access_399578_figure-in-roman-dress-publius-cornelius-scipio-africanus-and-study-of-two-helmet.jpg,09_met_open_access_399578_figure-in-roman-dress-publius-cornelius-scipio-africanus-and-study-of-two-helmet.jpg,met_open_access,399578,https://www.metmuseum.org/art/collection/search/399578,base=29; +14:drawing; +14:drawings; +8:pen; +8:study; -16:helmet; -12:inscription; +6:specific_query; +5:public_domain,"source=The Met Open Access | title=Figure in Roman Dress (Publius Cornelius Scipio Africanus) and Study of Two Helmets (recto); Sketches and Latin Inscription (verso) | object_type=Drawing | creator=Anonymous, Italian, 16th century | date=16th century | query=geometric dress study | url=https://www.metmuseum.org/art/collection/search/399578 | rights=public_domain",style_anchor,yes,Strong owner-match reference for this style family.,3
bionic_couture,5,A,cross_style_review,metal_modular,no,107,32,2,bionic_couture | metal_modular,technical fashion drawing,Two Women in Day Dresses: Preparatory drawing for a fashion plate from Le Moniteur de la Mode,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/bionic_couture/images/06_met_open_access_398882_two-women-in-day-dresses-preparatory-drawing-for-a-fashion-plate-from-le-moniteu.jpg,06_met_open_access_398882_two-women-in-day-dresses-preparatory-drawing-for-a-fashion-plate-from-le-moniteu.jpg,met_open_access,398882,https://www.metmuseum.org/art/collection/search/398882,base=32; +16:preparatory drawing; +10:day dress; +14:drawing; +14:drawings; +8:pen; +6:plate; +6:specific_query; +5:public_domain; -4:cross_style_duplicate,"source=The Met Open Access | title=Two Women in Day Dresses: Preparatory drawing for a fashion plate from Le Moniteur de la Mode | object_type=Drawing | creator=Jules David | date=October 19, 1886 | query=technical fashion drawing | url=https://www.metmuseum.org/art/collection/search/398882 | rights=public_domain",cross_style_fallback,yes,High-score fallback from another style bucket; review before final training.,4
